축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
제34회 춘천인형극제,춘천인형극장+축제극장몸짓,2022-04-04,2022-12-25,국내외 인형극 공연 관람+경연대회+퍼레이드,(재)춘천인형극제,강원도 춘천시청+(재)춘천인형극제,문화체육관광부+강원도청,033-250-4391,http://www.cocobau.com/,,강원도 춘천시 영서로 3017,강원도 춘천시 사농동 277-3,37.921016,127.720105,2022-08-26,4180000,강원도 춘천시
인형극아카데미,춘천인형극장,2022-03-01,2022-05-31,찾아가는 인형극 공연+국내외 초청작 인형극 공연+커튼콜 개최(온라인공연 인기작 3팀 무대 공연),(재)춘천인형극제,강원도 춘천시청+(재)춘천인형극제,문화체육관광부+강원도청,033-250-3067,http://www.cocobau.com/,,강원도 춘천시 영서로 3017,강원도 춘천시 사농동 277-3,37.921016,127.720105,2022-08-26,4180000,강원도 춘천시
마임아카데미,축제극장 몸짓+춘천공연예술연습공간,2022-03-29,2022-11-30,몸짓배우+시민배우+청년기획자 과정,(사)춘천마임축제,(사)춘천마임축제,강원도 춘천시청,033-242-0585,http://www.mimefestival.com/,,강원도 춘천시 춘천로 112,강원도 춘천시 효자동 531,37.873097,127.727838,2022-08-26,4180000,강원도 춘천시
춘천마임축제,"명동, 공지천 의암공원+삼악산 케이블카 임시주차장",2022-05-22,2022-05-29,Rock&Rock 공연+극장공연+불의도시 도깨비난장,(사)춘천마임축제,(사)춘천마임축제,강원도 춘천시청,033-242-0585,http://www.mimefestival.com/,,강원도 춘천시 춘천로 112,강원도 춘천시 효자동 531,37.873097,127.727838,2022-08-26,4180000,강원도 춘천시
한여름밤의 아리아,KT&G 상상마당 야외공연,2022-07-31,2022-07-31,국내외 정상급 성악공연,(사)강원민예총 춘천지부,(사)강원민예총 춘천지부,강원도 춘천시청,033-251-8907,https://m.facebook.com/chuncheonart777,,강원도 춘천시 서부대성로 12,강원도 춘천시 소양로2가 172-1,37.884815,127.724649,2022-08-26,4180000,강원도 춘천시
동해무릉제,천곡로타리 일원,2022-09-23,2022-09-25,개막식+퍼레이드+공연행사+체험행사+동대항 민속경기+민속예술시연,동해문화관광재단,강원도 동해시청,강원도 동해시청,033-530-2111,http://www.dh.go.kr/tour/sub.htm?nav_code=tou1497764548,,강원도 동해시 중앙로250 (천곡동),강원도 동해시 천곡동 1090-19,37.5230127,129.1143227,2022-08-30,4210000,강원도 동해시
제13회 독산성문화제,고인돌공원,2022-10-01,2022-10-02,독산성의 역사적 배경인 권율장군 지혜의 승전을 기념하는 오산시 대표문화제,경기도 오산시청,오산문화재단,,031-379-9924,https://www.doksanseong.kr/,,,경기도 오산시 금암동 520,37.1723484420,127.0489503649,2022-09-01,4000000,경기도 오산시
울산쇠부리축제,달천철장 일원,2022-05-13,2022-05-15,한반도 최초의 철산지 달천철장에서 펼처지는 철문화축제,울산광역시 북구청 문화체육과,울산광역시 북구청 문화체육과,,052-293-3500,http://www.soeburi.org/,,울산광역시 북구 달천철장길 58,울산광역시 북구 달천동 1-7,35.63424081,129.3289893,2022-09-02,6310000,울산광역시
울산조선해양축제,울산광역시 동구 일산해수욕장 일원,2022-07-22,2022-07-24,울산동구의 대표 여름축제,울산광역시 동구청 해양관광정책실,울산광역시 동구청 해양관광정책실,,052-209-3362,http://www.ussf.co.kr,,울산광역시 동구 해수욕장10길 7,울산광역시 동구 일산동 962,35.49577039,129.4306152,2022-09-02,6310000,울산광역시
울산고래축제,장생포 고래문화특구 일원,2022-10-13,2022-10-16,"고래문화를 계승하고 보전하기 위해, 고래의 본고장 울산에서 열리는 힐링 페스티벌",울산광역시 남구청 관광과,울산광역시 남구청 관광과,,052-226-1999,http://www.ulsanwhale.com,,울산광역시 남구 장생포고래로 244,,35.5027537,129.3807899593,2022-09-02,6310000,울산광역시
궁거랑 벚꽃 한마당,남구 무거생태하천 일원(특설무대),2019-03-30,2019-03-31,울산광역시 남구 삼호동 무거생태하천에서 매년 3~4월에 개최하는 문화 행사,울산광역시 남구청 문화체육과,울산광역시 남구청 문화체육과,,052-226-5412,,,울산광역시 남구 삼호로 15,,35.5500212,129.266004,2022-09-02,6310000,울산광역시
울산마두희축제,중구 원도심 일원,2022-09-16,2022-09-18,"320년 역사의 울산 큰줄당기기, 마두희",울산광역시 중구청 문화관광과,울산광역시 중구청 문화관광과,,052-244-2008,http://www.ulsanmaduhee.co.kr,,울산광역시 중구 새즈믄해거리 37,,35.5566794,129.320056,2022-09-02,6310000,울산광역시
태화강국제재즈음악제,태화강 국가정원 야외공연장,2021-06-26,2021-06-27,태화강국가정원에서 즐기는 재즈 향연,울산광역시 중구청 문화관광과,울산광역시 중구청 문화관광과,,052-290-3663,,,울산광역시 중구 태화강국가정원길 154,,35.548823,129.291263,2022-09-02,6310000,울산광역시
119안전문화축제,남구 태화강 둔치(태화로타리 앞) 일원,2021-10-21,2021-10-23,"보고, 듣고, 느끼는 오감만족형 안전체험의 장을 마련하여 안전문화의식을 확산하고자 개최하는 2021 울산119안전문화축제",울산광역시 소방본부 예방안전과,울산광역시 소방본부 예방안전과,,052-229-5331,http://fire.ulsan.go.kr/,,,울산광역시 남구 신정동 391 (울산시민공원),35.55011074,129.3101786,2022-09-02,6310000,울산광역시
태화강 국가정원 봄꽃축제,태화강 국가정원,2022-05-13,2022-05-15,6천만 송이 봄꽃 물결과 함께하는 태화강 국가정원 봄꽃 전시,울산광역시청 태화강국가정원과,울산광역시청 태화강국가정원과,,052-229-7561,https://www.ulsan.go.kr/s/garden/main.ulsan,,울산광역시 중구 태화강국가정원길 154,,35.548823,129.291263,2022-09-02,6310000,울산광역시
동성로축제,동성로,2021-10-15,2021-10-17,동성로 가요제+댄스+먹방대회+패션쇼 등,동성로상점가상인회,사단법인달성문화선양회,,053-423-3337,http://www.jung.daegu.kr/,,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2022-06-15,6270000,대구광역시
14회 울산대공원 장미축제,울산대공원 장미원,2022-05-25,2022-05-29,"사랑 향기가 가득한 행복도시, 울산을 대표하는 울산대공원 장미축제",울산광역시청 녹지공원과,울산광역시청 녹지공원과,,052-229-3341,http://ulsanrosefestival.com,,울산광역시 남구 대공원로 94,울산광역시 남구 옥동 산138,35.53098415,129.2939195,2022-09-02,6310000,울산광역시
울산대공원 빛축제,울산대공원 정문 풍요의 못 일원,2021-12-17,2022-02-04,달빛 호수를 여행하다,울산시설공단,울산시설공단,,052-226-0305,https://www.uic.or.kr/ulsanpark/main/mainPage.do,,울산광역시 남구 대공원로 94,울산광역시 남구 옥동 146-1,35.53098415,129.2939195,2022-09-02,6310000,울산광역시
태화강 대숲 납량축제,태화강 국가정원 야외공연장+대숲산책로 일원,2022-08-12,2022-08-15,태화강 대숲을 배경의 한 여름밤 납량축제,울산광역시청 문화예술과,울산광역시청 문화예술과,,052-226-7081,http://www.ulsantheatre.or.kr/,,울산광역시 중구 태화강국가정원길 154,,35.548823,129.291263,2022-09-02,6310000,울산광역시
서머페스티벌,비대면 온라인 공연,2022-08-05,2022-08-10,6개 테마별 국내 가수 초청 공연,울산광역시청 문화예술과,울산광역시청 문화예술과,,052-290-1236,https://www.usmbc.co.kr,,울산광역시 남구 중앙로 201,,35.53794728,129.3112566,2022-09-02,6310000,울산광역시
처용문화제,태화강국가정원 남구둔치 일원,2022-10-08,2022-10-10,"처용 콘텐츠를 활용한 프로그램, 전시체험 등 행사",울산광역시청 문화예술과,울산광역시청 문화예술과,,052-259-7917,http://www.cheoyongf.or.kr,,울산광역시 중구 태화강국가정원길 154,,35.548823,129.291263,2022-09-02,6310000,울산광역시
고싸움놀이축제,칠석동 고싸움놀이테마파크,2022-11-11,2022-11-13,고싸움놀이 시연+무형문화재 초청공연+민속놀이 체험,광주칠석고싸움놀이보존회,광주칠석고싸움놀이보존회,광주광역시+광주광역시 남구,062-607-2315,www.goodmorningyangrim.com,매년 정월대보름 개최,광주광역시 남구 고싸움로 2,광주광역시 남구 칠석동 619,35.069718,126.8375167,2022-08-30,3610000,광주광역시 남구
굿모닝양림축제,양림동 일원,2022-10-12,2022-10-30,문화인물전시+공연+인문학 강의+체험행사,광주광역시남구문화원+굿모닝양림축제추진위원회,광주광역시 남구,광주광역시+광주광역시 남구,062-607-2312,www.gossaum.com,,광주광역시 남구 백서로 92-8,광주광역시 남구 양림동 48,35.14019141,126.9163647,2022-08-30,3610000,광주광역시 남구
노대 에코 페스티벌,분적산 및 노대호수공원,2022-09-24,2022-09-24,분적산그림대회+트레킹+공연+체험행사,광주광역시남구,광주광역시남구,,062-607-2312,,,광주광역시 남구 노대실로41번길 31,,,,2022-08-30,3610000,광주광역시 남구
2019청도소싸움축제,청도소싸움경기장,2019-05-16,2019-05-19,전통소싸움대회 및 공연행사,경상북도 청도군청,청도소싸움축제추진위원회,,054-370-2371,http://www.청도소싸움.kr,,경상북도 청도군 화양읍 남성현로 348,경상북도 청도군 화양읍 삼신리 693-2,35.6867346,128.7251449,2022-08-31,5190000,경상북도 청도군
제13회 청도유등제,청도천둔치,2019-05-18,2019-04-08,유등 점등 및 무대+체험+전시 행사 등,경상북도 청도군청,청도유등제봉행위원회,,054-372-7640,https://www.cheongdo.go.kr/open.content/tour/festival/others/,,,경상북도 청도군 화양읍 송북리 98-3,35.65498121,128.7372391,2022-08-31,5190000,경상북도 청도군
2019청도반시축제,청도야외공연장,2019-10-11,2019-10-13,청도반시전시판매행사 및 공연,경상북도 청도군청,청도반시축제추진위원회,,054-370-2377,http://www.청도반시축제.kr,,경상북도 청도군 화양읍 청려로 1846,경상북도 청도군 화양읍 동천리 457,35.64838523,128.7186823,2022-08-31,5190000,경상북도 청도군
2019청도세계코미디아트페스티벌,청도야외공연장,2019-10-11,2019-10-13,코미디를 테마로 한 공연+전시+체험 등,경상북도 청도군청,청도세계코미디예술제추진위원회,,054-373-1951,http://www.xn--hq1bx54atmfwzcbqh.kr/main.asp,,경상북도 청도군 화양읍 청려로 1846,경상북도 청도군 화양읍 동천리 450,35.64838523,128.7186823,2022-08-31,5190000,경상북도 청도군
2021청도반시축제,온라인,2021-10-08,2021-10-17,코미디를 테마로 한 공연+전시+체험 등,경상북도 청도군청,청도세계코미디예술제추진위원회,,054-373-1951,http://www.청도반시축제.kr,,경상북도 청도군 화양읍 청화로 70,경상북도 청도군 화양읍 범곡리 133,35.64725258,128.7339993,2022-08-31,5190000,경상북도 청도군
구로G페스티벌,서울특별시 구로구 안양천,2022-09-23,2022-09-25,구민이 주체가 되어 자발적으로 참여하는 구로구민을 위한 비대면 축제,서울특별시 구로구,서울특별시 구로구,,02-860-2282,www.gfestival.co.kr,,서울특별시 구로구 가마산로 245,서울특별시 구로구 구로동 435,37.49551123,126.8882891,2022-06-29,3160000,서울특별시 구로구
대구약령시한방문화축제,약령시장,2021-10-06,2021-10-10,고유제+개막식+체험프로그램 등,사단법인약령시보존위원회,대구광역시 의료산업기반과+대구광역시 중구 관광진흥과,,053-253-4729,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
대구컬러풀페스티벌,국채보상로,2021-10-22,2021-10-24,퍼레이드+축하공연+부대행사 등,재단법인대구문화재단,대구광역시 문화콘텐츠과,,053-430-1261,http://www.daegu.go.kr/,개최취소,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
대구국제뮤지컬페스티벌,공연장,2021-06-18,2021-07-05,국내외 우수작품 공연+딤프어워즈+딤프린지 등,사단법인DIMF,대구광역시 문화콘텐츠과,,053-622-1945,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
대구치맥페스티벌,두류공원,2021-10-01,2021-11-30,치맥 테마 식음+체험+공연+참여프로그램 운영 등,대구치맥페스티벌 조직위원회,사단법인한국치맥산업협회,,053-248-9998,http://www.daegu.go.kr/,개최취소,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
디지털패션문화페스티벌,공원,2021-12-06,2021-12-12,디지털 패션쇼+패션아트 전시 및 공연+이커머스 라이브 마켓 등,한국패션산업연구원,대구광역시 섬유패션과,,053-721-7434,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
대구포크페스티벌,공원,2021-11-20,2021-11-20,포크송 및 버스킹 공연+언택트 공연 100인 랜선 합창 등,사단법인대구포크페스티벌,대구광역시 문화예술정책과,,053-626-2015,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
대구국제오페라축제,공연장,2021-09-09,2021-11-07,초청 오페라 공연+국제오페라오디션 등,재단법인대구오페라하우스,대구광역시 문화콘텐츠과,,053-803-3792,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
대구글로벌게임문화축제 e-fun,동성로,2021-11-27,2021-11-28,게임영상콘서트+e스포츠대회+코스프레대회+게임체험존 운영,재단법인대구디지털산업진흥원,대구광역시 문화콘텐츠과,,053-803-3801,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
생명사랑환경축제-맹꽁이야 놀자,달성습지,2021-09-11,2021-09-12,생태교육 및 참여 프로그램 운영+달성습지 홍보 등,사단법인대구경북늘푸른자원봉사단,대구광역시 환경정책과,,053-803-4215,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
대구국제재즈축제,공원,2021-10-06,2021-10-11,재즈뮤지션 초청공연+프린지 공연+대구국제실용음악콩쿠르 개최,대구국제재즈축제조직위원회,대구광역시 문화예술정책과,,053-1544-1850,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
팔공산 산중장터 승시,동화사,2021-10-01,2021-10-31,산중장터 승시 재현+승시음악회+불교용품 전시+체험관 운영 등,팔공산승시축제봉행위원회,팔공총림동화사,,053-980-7956,http://www.daegu.go.kr/,개최취소,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
대구생활문화제,동성로,2021-11-19,2021-11-21,예술동호회 공연 및 전시+체험존 운영,대구문화재단,대구광역시 문화예술정책과,,053-803-3631,http://www.daegu.go.kr/,,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012201,2022-06-15,6270000,대구광역시
대봉웨딩거리축제,대봉웨딩거리,2021-10-21,2021-10-22,웨딩 관련 상품체험+길거리 공연 등,대봉동 웨딩거리 상점가 상인회,대봉동 웨딩거리 상점가 상인회,,053-661-2645,http://www.jung.daegu.kr/,,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2022-06-15,6270000,대구광역시
대구패션주얼리위크,교동,2021-11-05,2021-11-06,주얼리패션쇼+주얼리 경매+주얼리 모델대회 등,대구패션주얼리특구상인회,대구패션주얼리특구상인회,,053-424-9150,http://www.jung.daegu.kr/,,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2022-06-15,6270000,대구광역시
대구스트리트모터페스티벌,남산동 자동차골목,2021-09-01,2021-12-31,차량 전시+축하공연+부대행사 등,남산동DSMF조직위원회,남산동자동차골목상점가상인회,,053-661-3014,http://www.jung.daegu.kr/,개최취소,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2022-06-15,6270000,대구광역시
대구문화재야행,대구근대골목,2021-10-15,2021-10-16,근대 관련 문화공연+전시+체험+청사초롱 야경투어 및 테마투어 등,대구광역시 중구 관광진흥과,대구광역시 중구 관광진흥과,,053-661-2195,http://www.jung.daegu.kr/,,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2022-06-15,6270000,대구광역시
김광석 나의노래 다시부르기,"김광석길, 신천둔치",2021-10-02,2021-10-02,김광석 노래경연+김광석 추모사진 전시 등,주식회사 대구문화방송,대구광역시 중구 문화교육과,,053-661-2174,http://www.jung.daegu.kr/,,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2022-06-15,6270000,대구광역시
김광석길 페스티벌,김광석길,2021-10-09,2021-10-10,김광석길 문화예술 공연+버스킹+전시 등,방천문화예술협회,방천문화예술협회,,053-661-2174,http://www.jung.daegu.kr/,,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2022-06-15,6270000,대구광역시
제4회 블랙뮤직페스티벌,의정부시청앞 잔디광장 외,2022-10-08,2022-10-22,힙합장르를 중심으로 하는 의정부 대표 뮤직 페스티벌,의정부문화재단,의정부문화재단,,031-850-5145,,,경기도 의정부시 의정로 1,경기도 의정부시 의정부동 323,37.733386,127.034128,2022-08-26,3820000,경기도 의정부시
제10회 의정부국제가야금축제,의정부예술의전당,2022-09-23,2022-09-24,가야금문화 전승 및 경연대회,(사)죽파류 가야금산조보존회,의정부문화재단,,031-850-5142,,,경기도 의정부시 의정로 1,경기도 의정부시 의정부동 323,37.733386,127.034128,2022-08-26,3820000,경기도 의정부시
<도서관 속 작업실 II>展,의정부미술도서관,2022-07-27,2022-09-28,오픈스튜디오 3기+4기 작가 결과보고 전시,의정부미술도서관,의정부미술도서관,,031-828-8870,,,경기도 의정부시 민락로 248,,37.745147,127.106129,2022-08-26,3820000,경기도 의정부시
청소년 어울림마당 행복누리축제,의정부시청소년수련관,2022-04-09,2022-11-19,공연마당+이벤트마당+체험마당,의정부시청소년수련관,여성가족부+경기도 의정부시청,,031-828-9544,,,경기도 의정부시 의정로 27,경기도 의정부시 의정부동 352,37.73517724,127.0338894,2022-08-26,3820000,경기도 의정부시
장 담그는날 행사,광주광역시 남구 콩 종합센터,2022-01-29,2022-02-27,장담그기,압촌 메주 영농 조합,저절로 소비자 생활협동조합,,062-385-0455,http://www.namgu.gwangju.kr/menu.es?mid=a70303000000,,광주광역시 남구 압촌길78,광주광역시 남구 압촌동101-1,35.09241574,126.8386216,2022-01-01,6290000,광주광역시
굿모닝양림,광주광역시 남구 양림동66번지,2020-11-07,2020-11-28,"전시, 공연, 체험행사","남구 문화원, 굿모닝 양림행사추진위원회",광주광역시 남구,"문화체육관광부,광주광역시,광주디자인진흥원",062-671-7356,http://www.goodmorningyangrim.com,,광주광역시 남구 백서로86,광주광역시 남구 양림동66,35.140085,126.9157016,2022-01-01,6290000,광주광역시
용아생가 어린이축제,광주광역시 광산구 용아생가,2021-05-29,2021-05-29,용아 박용철의 문학과 생애를 소재로 한 놀이와 체험 프로그램 제공,놀이요점빵,문화재청,광주광역시,,https://www.gwangsan.go.kr/bb/bbBoard.php?action=view&pageID=gwangsan0201020000&boardID=NEWS_NEW&SEQ=685637744,,광주광역시 광산구 소촌로 46번길24,,35.149407,126.7951682,2022-01-01,6290000,광주광역시
영산강문화제,광주광역시 서구 서창동 영산강 둔지,2021-10-07,2021-10-10,영산강 문화의 대중적 이해와 확산,광주광역시 남구,광주광역시 남구,,062-362-7670,http://www.cafe.naver.com/yeongsangang,,광주광역시 남구 승촌보길90,광주광역시 남구 승촌동573,35.06581966,126.761073,2022-01-01,6290000,광주광역시
광주 프린지 페스티벌 동구,광주광역시 동구 푸른길공원(지역이동하여 개최),2021-07-17,2021-07-17,"예술작품, 체험, 플리마켓, 야외공연",광주문화재단,광주광역시,,062-670-7983,http://www.fringefestival.kr,,광주광역시 동구 독립로 380,광주광역시 동구 계림동 730,35.16426707,126.9160455,2022-01-01,6290000,광주광역시
광주 프린지 페스티벌 남구 유안근린공원,광주광역시 남구 유안근린공원,2021-08-28,2021-08-28,"예술작품, 체험, 플리마켓, 야외공연",광주문화재단,광주광역시,,062-670-7983,http://www.fringefestival.kr,,광주광역시 남구 봉선로 195,광주광역시 남구 봉선동134,35.12316806,126.9166047,2022-01-01,6290000,광주광역시
광주 프린지 페스티벌 광산구 쌍암공원,광주광역시 광산구 쌍암공원,2021-09-11,2021-09-11,"예술작품, 체험, 플리마켓, 야외공연",광주문화재단,광주광역시,,062-670-7983,http://www.fringefestival.kr,,광주광역시 광산구 첨단중앙로182번길 39,광주광역시 광산구 쌍암동 653-1,35.22222807,126.8442514,2022-01-01,6290000,광주광역시
2022 양산 월드 힙합 어벤져스,황산공원,2022-05-27,2022-05-29,"개막식, 축하공연, 힙합댄스 경연대회, DJ/EDM파티 등",양산시,양산시,경상남도 양산시,055-392-2544,,,경상남도 양산시 물금읍 낙동로 295-9,경상남도 양산시 물금읍 물금리 172-2,35.30173083,128.9895949,2022-06-30,5380000,경상남도 양산시
2022 양산웅상회야제,웅상체육공원,2022-05-14,2022-05-15,"(축제취소)개막식, 폐막식, 공연, 시민참여 행사 등",양산웅상회야제추진위원회,양산웅상회야제추진위원회,경상남도 양산시,055-392-6183,,,경상남도 양산시 배움터길 60-19 웅상체육공원,경상남도 양산시 평산동 283,35.3776261151,129.1434298545,2022-06-30,5380000,경상남도 양산시
어린이날 가족한마당,서창운동장,2022-05-05,2022-05-05,"(축제취소)공연, 참여 및 체험부스, 사생대회 등",웅상청년회의소,웅상청년회의소,경상남도 양산시,055-392-6172,,,경상남도 양산시 대운9길 16-85,경상남도 양산시 삼호동 157,35.4116158294,129.1822946326,2022-06-30,5380000,경상남도 양산시
소백산철쭉제,영주시 소백산 일원,2022-05-28,2022-05-29,소백산 산신제+죽령옛길걷기+소백산 철쭉 등반대회 등 소백산 철쭉 홍조,(재)영주문화관광재단,경상북도 영주시,,054-630-8707,http://yjsobaek.yctf.or.kr/,,,경상북도 영주시 풍기읍 수철리 산 86-1,36.91240318,128.4706212,2022-06-29,5090000,경상북도 영주시
영주사과축제,영주시 부석사 주차장 일원,2021-10-25,2021-10-31,사과판매행사+이벤트+체험행사 등 영주사과홍보,(재)영주문화관광재단,경상북도 영주시,,054-630-8707,http://yjapple.yctf.or.kr/,,,경상북도 영주시 부석면 북지리 300,36.99451393,128.6811773,2022-06-29,5090000,경상북도 영주시
영주한국선비문화축제,영주시 선비촌 일원,2022-05-05,2022-05-08,소수서원 사액 봉안레 재현+한복맵시대회 등 한국정신문화의 뿌리 선비정신 알림,(재)영주문화관광재단,경상북도 영주시,,054-630-8707,http://yeongjufestival.or.kr/,,,경상북도 영주시 순흥면 청구리 357,36.92847353,128.5834337,2022-06-29,5090000,경상북도 영주시
영주무섬외나무다리축제,영주시 무섬마을 일원,2022-10-01,2022-10-02,이벤트+체험행사 등 무섬마을 홍보,(재)영주문화관광재단,경상북도 영주시,,054-630-8707,http://yeongjufestival.or.kr/,,,경상북도 영주시 문수면 수도리 268,36.732962,128.621224,2022-06-29,5090000,경상북도 영주시
2022 통영한산대첩축제,통영 삼도수군통제영 및 통영시 일원,2022-08-05,2022-08-14,고유제+군점+이순신장군 행렬+한산대첩 재현+공중한산해전+김한민감독 초청강연,(재)통영한산대첩문화재단,경상남도 통영시,문화체육관광부+경상남도,055-650-4532,https://tyhansancf.or.kr/,,경상남도 통영시 세병로 27(문화동),경상남도 통영시 문화동 62,34.84715495,128.423489,2022-06-30,5330000,경상남도 통영시
제20회 사상전통달집놀이,삼락생태공원,2022-02-15,2021-02-15,사상전통달집 놀이,사상문화원,사상구,,051-310-4062,http://www.sasangculture.or.kr/,코로나 19 관련 행사 취소,부산광역시 사상구 낙동대로 1310번길 19(삼락동),,35.17701002,128.9776397,2022-06-13,3390000,부산광역시 사상구
제12회 삼락벚꽃축제,삼락생태공원,2022-03-26,2022-03-27,삼락벚꽃축제,삼락동,사상구,,051-310-3002,,코로나 19 관련 행사 취소,부산광역시 사상구 낙동대로 1310번길 19(삼락동),,35.17701002,128.9776397,2022-06-13,3390000,부산광역시 사상구
